C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
D,CO2EII,PUBLISHING,1,2020,25,19/06/2020 0:00,SA1,45565.96287,7333.29857,0.1609
D,CO2EII,PUBLISHING,1,2020,25,19/06/2020 0:00,TAS1,33198.49406,1.6407817,0
D,CO2EII,PUBLISHING,1,2020,25,19/06/2020 0:00,VIC1,126879.6569,102198.083,0.8055
D,CO2EII,PUBLISHING,1,2020,25,20/06/2020 0:00,NEM,497897.1186,351042.6706,0.7051
D,CO2EII,PUBLISHING,1,2020,25,20/06/2020 0:00,NSW1,165359.1511,127865.9527,0.7733
D,CO2EII,PUBLISHING,1,2020,25,20/06/2020 0:00,QLD1,153819.4059,113019.1769,0.7348
D,CO2EII,PUBLISHING,1,2020,25,20/06/2020 0:00,SA1,38164.26327,5610.693791,0.147
D,CO2EII,PUBLISHING,1,2020,25,20/06/2020 0:00,TAS1,31781.38305,211.312479,0.0066
D,CO2EII,PUBLISHING,1,2020,25,20/06/2020 0:00,VIC1,108772.9152,104335.5347,0.9592
D,CO2EII,PUBLISHING,1,2020,26,21/06/2020 0:00,NEM,499746.7037,355897.051,0.7122
D,CO2EII,PUBLISHING,1,2020,26,21/06/2020 0:00,NSW1,169527.2555,126730.3689,0.7476
D,CO2EII,PUBLISHING,1,2020,26,21/06/2020 0:00,QLD1,154224.2026,112996.3678,0.7327
D,CO2EII,PUBLISHING,1,2020,26,21/06/2020 0:00,SA1,40553.35165,6090.673345,0.1502
D,CO2EII,PUBLISHING,1,2020,26,21/06/2020 0:00,TAS1,34468.7721,560.285843,0.0163
D,CO2EII,PUBLISHING,1,2020,26,21/06/2020 0:00,VIC1,100973.1218,109519.3551,1.0846
D,CO2EII,PUBLISHING,1,2020,26,22/06/2020 0:00,NEM,559689.2477,381477.5634,0.6816
D,CO2EII,PUBLISHING,1,2020,26,22/06/2020 0:00,NSW1,197841.1837,148662.4449,0.7514
D,CO2EII,PUBLISHING,1,2020,26,22/06/2020 0:00,QLD1,155970.3517,110349.8873,0.7075
D,CO2EII,PUBLISHING,1,2020,26,22/06/2020 0:00,SA1,47524.71181,10230.01238,0.2153
D,CO2EII,PUBLISHING,1,2020,26,22/06/2020 0:00,TAS1,40166.67959,562.0334155,0.014
D,CO2EII,PUBLISHING,1,2020,26,22/06/2020 0:00,VIC1,118186.321,111673.1854,0.9449
D,CO2EII,PUBLISHING,1,2020,26,23/06/2020 0:00,NEM,566003.9481,395430.3932,0.6986
D,CO2EII,PUBLISHING,1,2020,26,23/06/2020 0:00,NSW1,207362.7437,155440.538,0.7496
D,CO2EII,PUBLISHING,1,2020,26,23/06/2020 0:00,QLD1,163851.2369,115374.032,0.7041
D,CO2EII,PUBLISHING,1,2020,26,23/06/2020 0:00,SA1,35480.23701,13060.25483,0.3681
D,CO2EII,PUBLISHING,1,2020,26,23/06/2020 0:00,TAS1,41001.55056,229.9722828,0.0056
D,CO2EII,PUBLISHING,1,2020,26,23/06/2020 0:00,VIC1,118308.18,111325.5961,0.941
D,CO2EII,PUBLISHING,1,2020,26,24/06/2020 0:00,NEM,561996.3748,413327.1867,0.7355
D,CO2EII,PUBLISHING,1,2020,26,24/06/2020 0:00,NSW1,204874.2338,159867.1867,0.7803
D,CO2EII,PUBLISHING,1,2020,26,24/06/2020 0:00,QLD1,168594.8274,116764.9192,0.6926
D,CO2EII,PUBLISHING,1,2020,26,24/06/2020 0:00,SA1,31541.78293,14980.55413,0.4749
D,CO2EII,PUBLISHING,1,2020,26,24/06/2020 0:00,TAS1,40575.41197,554.0755281,0.0137
D,CO2EII,PUBLISHING,1,2020,26,24/06/2020 0:00,VIC1,116410.1188,121160.4511,1.0408
D,CO2EII,PUBLISHING,1,2020,26,25/06/2020 0:00,NEM,555293.7558,401067.7044,0.7223
D,CO2EII,PUBLISHING,1,2020,26,25/06/2020 0:00,NSW1,189247.4587,148758.4202,0.7861
D,CO2EII,PUBLISHING,1,2020,26,25/06/2020 0:00,QLD1,163349.7674,114583.3979,0.7015
D,CO2EII,PUBLISHING,1,2020,26,25/06/2020 0:00,SA1,33820.02168,11955.47472,0.3535
D,CO2EII,PUBLISHING,1,2020,26,25/06/2020 0:00,TAS1,38292.63479,1.64023127,0
D,CO2EII,PUBLISHING,1,2020,26,25/06/2020 0:00,VIC1,130583.8732,125768.7714,0.9631
D,CO2EII,PUBLISHING,1,2020,26,26/06/2020 0:00,NEM,557070.0421,419016.326,0.7522
D,CO2EII,PUBLISHING,1,2020,26,26/06/2020 0:00,NSW1,197497.2609,161007.1032,0.8152
D,CO2EII,PUBLISHING,1,2020,26,26/06/2020 0:00,QLD1,162049.8971,116440.295,0.7185
D,CO2EII,PUBLISHING,1,2020,26,26/06/2020 0:00,SA1,27828.7471,15620.19652,0.5613
D,CO2EII,PUBLISHING,1,2020,26,26/06/2020 0:00,TAS1,43544.3867,213.7461758,0.0049
D,CO2EII,PUBLISHING,1,2020,26,26/06/2020 0:00,VIC1,126149.7503,125734.9851,0.9967
D,CO2EII,PUBLISHING,1,2020,26,27/06/2020 0:00,NEM,521317.7285,399243.0305,0.7658
D,CO2EII,PUBLISHING,1,2020,26,27/06/2020 0:00,NSW1,187444.698,153599.9219,0.8194
D,CO2EII,PUBLISHING,1,2020,26,27/06/2020 0:00,QLD1,151196.5785,108944.0375,0.7205
D,CO2EII,PUBLISHING,1,2020,26,27/06/2020 0:00,SA1,27278.53794,12420.78295,0.4553
D,CO2EII,PUBLISHING,1,2020,26,27/06/2020 0:00,TAS1,39166.09822,225.4146232,0.0058
D,CO2EII,PUBLISHING,1,2020,26,27/06/2020 0:00,VIC1,116231.8158,124052.8735,1.0673
D,CO2EII,PUBLISHING,1,2020,27,28/06/2020 0:00,NEM,520365.7996,396648.6972,0.7622
D,CO2EII,PUBLISHING,1,2020,27,28/06/2020 0:00,NSW1,182564.3467,148214.8733,0.8119
D,CO2EII,PUBLISHING,1,2020,27,28/06/2020 0:00,QLD1,153490.8444,112190.3747,0.7309
D,CO2EII,PUBLISHING,1,2020,27,28/06/2020 0:00,SA1,28951.2988,11908.19931,0.4113
D,CO2EII,PUBLISHING,1,2020,27,28/06/2020 0:00,TAS1,39194.78412,103.5624861,0.0026
D,CO2EII,PUBLISHING,1,2020,27,28/06/2020 0:00,VIC1,116164.5256,124231.6874,1.0694
